epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7536,1.28964,1.89339,1.00993,0.59801,0.49655,0.58704,0.38658,1.24103,1.94529,0.97721,0.000411985,0.000411985,0.000411985
2,47.3868,1.20126,1.06798,0.98795,0.64676,0.61153,0.6423,0.42752,1.13596,1.17265,0.96023,0.000801306,0.000801306,0.000801306
3,68.8927,1.1751,1.0137,0.98586,0.65951,0.63896,0.69902,0.47614,1.13893,0.88266,0.98136,0.00116313,0.00116313,0.00116313
4,90.7258,1.16224,0.93573,0.97854,0.71964,0.66282,0.7197,0.48495,1.13532,0.85377,0.96431,0.00112625,0.00112625,0.00112625
5,112.069,1.14759,0.88813,0.98091,0.77217,0.67255,0.75183,0.51821,1.0852,0.80841,0.9596,0.001085,0.001085,0.001085
6,133.429,1.10432,0.84163,0.9684,0.80066,0.68846,0.78016,0.5439,1.08897,0.75734,0.95768,0.00104375,0.00104375,0.00104375
7,155.134,1.09775,0.81937,0.96686,0.72192,0.68026,0.72104,0.50258,1.08592,0.75428,0.95586,0.0010025,0.0010025,0.0010025
8,176.641,1.0885,0.78317,0.96623,0.84179,0.73503,0.78099,0.55095,1.08902,0.73275,0.95153,0.00096125,0.00096125,0.00096125
9,198.275,1.08269,0.75691,0.958,0.76676,0.73143,0.779,0.56159,1.04781,0.71415,0.94857,0.00092,0.00092,0.00092
10,220.79,1.05874,0.72462,0.9539,0.71128,0.7626,0.76501,0.53186,1.07979,0.71091,0.95591,0.00087875,0.00087875,0.00087875
11,242.157,1.06621,0.72228,0.95602,0.77861,0.72074,0.79238,0.57815,1.05627,0.67054,0.95067,0.0008375,0.0008375,0.0008375
12,263.402,1.05356,0.71339,0.95138,0.84291,0.77415,0.8262,0.60357,1.05275,0.67063,0.95352,0.00079625,0.00079625,0.00079625
13,284.702,1.03843,0.70618,0.94928,0.81595,0.76302,0.80523,0.59321,1.0436,0.6664,0.9458,0.000755,0.000755,0.000755
14,305.833,1.03221,0.67573,0.94591,0.80856,0.77384,0.82307,0.60096,1.04675,0.64833,0.94506,0.00071375,0.00071375,0.00071375
15,327.068,1.03103,0.67538,0.94512,0.8305,0.7984,0.84182,0.62201,1.03745,0.64808,0.94387,0.0006725,0.0006725,0.0006725
16,348.395,1.0072,0.65214,0.94148,0.77849,0.76459,0.81861,0.613,1.03388,0.64375,0.94772,0.00063125,0.00063125,0.00063125
17,369.681,1.01765,0.65168,0.94238,0.86348,0.7597,0.83844,0.61743,1.01673,0.63694,0.93891,0.00059,0.00059,0.00059
18,391.063,0.99614,0.64022,0.93568,0.82228,0.77041,0.83815,0.62955,1.01719,0.62366,0.94085,0.00054875,0.00054875,0.00054875
19,413.381,0.99613,0.64158,0.93655,0.88262,0.7103,0.81451,0.60261,1.00877,0.63293,0.93656,0.0005075,0.0005075,0.0005075
20,435.124,0.98239,0.62677,0.93109,0.80048,0.73664,0.83399,0.61215,1.01412,0.61866,0.93762,0.00046625,0.00046625,0.00046625
21,498.236,0.99119,0.63028,0.9378,0.81127,0.79454,0.81587,0.59299,1.01508,0.63565,0.93819,0.000425,0.000425,0.000425
22,519.471,0.97794,0.60649,0.9283,0.84387,0.7759,0.83925,0.6228,1.01511,0.61432,0.93549,0.00038375,0.00038375,0.00038375
23,540.457,0.97971,0.60021,0.92579,0.82548,0.76749,0.84019,0.6254,0.9913,0.61538,0.93496,0.0003425,0.0003425,0.0003425
24,561.694,0.97056,0.58983,0.93032,0.88266,0.77669,0.8558,0.64808,0.99339,0.59571,0.93281,0.00030125,0.00030125,0.00030125
25,583.437,0.95545,0.57521,0.92171,0.88485,0.78514,0.85695,0.64884,1.00031,0.59305,0.93875,0.00026,0.00026,0.00026
26,604.819,0.95066,0.56256,0.92056,0.83156,0.81397,0.85396,0.64451,0.98326,0.58714,0.92943,0.00021875,0.00021875,0.00021875
27,626.027,0.93587,0.55615,0.91413,0.86908,0.79095,0.85364,0.65168,0.98686,0.58501,0.93266,0.0001775,0.0001775,0.0001775
28,647.328,0.93368,0.55092,0.91564,0.84488,0.79891,0.85514,0.65198,0.98741,0.57683,0.92965,0.00013625,0.00013625,0.00013625
29,668.394,0.92227,0.54301,0.9114,0.81933,0.81308,0.85464,0.65186,0.98146,0.57356,0.92839,9.5e-05,9.5e-05,9.5e-05
30,689.884,0.91033,0.53166,0.90762,0.85299,0.78371,0.85836,0.65348,0.97718,0.57035,0.92801,5.375e-05,5.375e-05,5.375e-05
