epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8269,0.81175,1.84165,1.66878,1.25937,0.64353,0.46417,0.49871,0.3664,0.64522,0.46584,0.49101,0.37292,0.92409,1.5854,1.44518,1.52871,0.000473564,0.000473564,0.000473564
2,79.6173,0.81997,1.574,1.17275,1.25277,0.56011,0.52494,0.51618,0.39225,0.55506,0.53773,0.51712,0.37734,0.82544,1.6777,1.41314,1.22303,0.000931089,0.000931089,0.000931089
3,133.667,0.82961,1.52236,1.03165,1.25952,0.53023,0.51001,0.48951,0.34559,0.52405,0.50416,0.48267,0.34681,1.04549,1.59935,1.1488,1.49739,0.00136975,0.00136975,0.00136975
4,1031.08,0.812,1.48455,0.93308,1.24328,0.57385,0.59709,0.57997,0.40813,0.57385,0.59709,0.58348,0.40352,0.94293,1.56983,1.18587,1.39469,0.00134412,0.00134412,0.00134412
5,2446.64,0.76492,1.41469,0.83861,1.2076,0.77617,0.57847,0.65144,0.48983,0.77777,0.57233,0.64639,0.46804,0.81775,1.3406,0.96431,1.25338,0.00131582,0.00131582,0.00131582
6,2803.48,0.75872,1.33727,0.78394,1.20083,0.77375,0.59852,0.67789,0.48174,0.74154,0.62517,0.67626,0.44052,0.79677,1.3858,0.95786,1.23863,0.00128753,0.00128753,0.00128753
7,2844.66,0.72616,1.35871,0.75285,1.17762,0.83577,0.63678,0.70361,0.52266,0.83663,0.63751,0.69657,0.49447,0.76955,1.28544,0.84416,1.19874,0.00125923,0.00125923,0.00125923
8,2879.07,0.70595,1.30015,0.71963,1.16788,0.76102,0.65978,0.71579,0.52281,0.75542,0.65643,0.70589,0.51274,0.78134,1.27674,0.80281,1.19109,0.00123094,0.00123094,0.00123094
9,2912.95,0.69877,1.26665,0.71876,1.16274,0.69269,0.71579,0.71335,0.53848,0.68915,0.71244,0.70561,0.52087,0.70724,1.11053,0.77716,1.12502,0.00120265,0.00120265,0.00120265
10,2947.55,0.6802,1.20864,0.65406,1.15261,0.74562,0.6859,0.72076,0.55347,0.7452,0.69243,0.72105,0.52397,0.73737,1.19073,0.77036,1.13088,0.00117435,0.00117435,0.00117435
