epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4451,1.28964,1.89339,1.00993,0.59801,0.49655,0.58704,0.38658,1.24103,1.94529,0.97721,0.000411985,0.000411985,0.000411985
2,46.5808,1.20392,1.07047,0.98786,0.64901,0.62561,0.6284,0.41274,1.13518,1.13116,0.96374,0.000812244,0.000812244,0.000812244
3,68.365,1.16877,1.00888,0.98498,0.63421,0.64161,0.64683,0.43088,1.16594,0.94153,0.99883,0.001196,0.001196,0.001196
4,89.0634,1.17861,0.94416,0.98369,0.65469,0.68107,0.69262,0.45306,1.14245,0.83238,0.96988,0.00117575,0.00117575,0.00117575
5,109.912,1.14174,0.8784,0.97876,0.70827,0.68144,0.73588,0.50794,1.09389,0.79523,0.96247,0.001151,0.001151,0.001151
6,134.505,1.1065,0.856,0.9674,0.78502,0.68893,0.76932,0.53726,1.09419,0.74525,0.95404,0.00112625,0.00112625,0.00112625
7,157.277,1.09934,0.8268,0.96656,0.81098,0.69227,0.76793,0.53774,1.07311,0.85416,0.95531,0.0011015,0.0011015,0.0011015
8,178.385,1.09522,0.79191,0.96882,0.77929,0.68594,0.7658,0.54282,1.07778,0.75251,0.95085,0.00107675,0.00107675,0.00107675
9,199.608,1.09006,0.7686,0.9619,0.8493,0.70536,0.78627,0.55879,1.07014,0.72424,0.95383,0.001052,0.001052,0.001052
10,220.903,1.07148,0.74036,0.95619,0.7603,0.73205,0.77441,0.55248,1.07999,0.72652,0.9566,0.00102725,0.00102725,0.00102725
11,242.781,1.08369,0.73526,0.96144,0.83436,0.71398,0.78143,0.56111,1.08305,0.69646,0.95753,0.0010025,0.0010025,0.0010025
12,267.867,1.06738,0.72451,0.95475,0.7321,0.75881,0.78761,0.55316,1.08332,0.69887,0.96133,0.00097775,0.00097775,0.00097775
13,293.721,1.05185,0.71473,0.95434,0.81143,0.72571,0.79921,0.57795,1.03736,0.67034,0.94602,0.000953,0.000953,0.000953
14,319.971,1.04395,0.68551,0.95076,0.75832,0.77666,0.81264,0.5876,1.03674,0.65366,0.94139,0.00092825,0.00092825,0.00092825
